-0.01  30.000000	 0.000000	 6.696535	-16.166871	 24.529671	 44.205920	 96.385901	-18.971402	-50.421968	-16.748977 -3.648107	-0.021516	 6.628057	 0.228074	-0.034495	 6.844453
-0.005  30.000000	 0.000000	 7.320072	-17.001871	 24.471008	 45.578854	 96.059473	-18.971328	-52.141827	-16.575996 -3.856511	-0.045405	 7.228766	 0.466819	-0.088284	 6.848392
7.11237e-17  30.000000	 0.000000	 6.951710	-19.344955	 24.334106	 48.781901	 94.602767	-20.413798	-54.103383	-17.317527 -3.895928	-0.045875	 7.040794	 0.490994	 0.088080	 6.847854
0.005  30.000000	 0.000000	 7.049218	-21.177671	 24.224505	 51.348298	 93.534820	-21.607934	-56.072231	-17.874287 -4.267308	-0.083633	 7.048736	 0.899235	-0.015553	 6.854958
0.01  30.000000	 0.000000	 7.488940	-22.395505	 24.152319	 53.107096	 92.973124	-22.200363	-57.841331	-17.987601 -3.449394	 0.000000	 7.499511	 0.049723	-0.028825	 6.839761
0.015  30.000000	 0.000000	 8.126027	-23.838318	 24.064008	 55.102386	 92.026907	-23.355604	-59.833965	-18.599212 -4.131205	-0.081385	 7.793476	 0.731114	-0.380993	 6.851336
0.02  30.000000	 0.000000	 8.186318	-25.909605	 23.953527	 57.905608	 90.891449	-25.267063	-61.860997	-19.521371 -3.930179	-0.056318	 8.156868	 0.502782	-0.057320	 6.847149
0.025  30.000000	 0.000000	 9.256043	-26.798071	 23.891609	 59.136338	 90.254859	-26.125543	-63.690931	-20.000000 -3.483240	 0.000000	 9.260051	 0.249613	 0.001643	 6.842743
0.03  30.000000	 0.000000	 10.266048	-27.591538	 23.846992	 60.181379	 89.846634	-26.539522	-65.396699	-19.999983 -3.497938	 0.000000	 10.271231	 0.287867	-0.173938	 6.843112
0.035  30.000000	 0.000000	 11.554836	-28.151121	 23.817071	 60.880514	 89.426478	-26.808905	-67.066706	-20.000000 -3.708432	-0.034080	 11.516605	 0.207654	-0.036557	 6.841560
0.04  30.000000	 0.000000	 12.815591	-28.723196	 23.788434	 61.550641	 89.015289	-27.095322	-68.680034	-20.000000 -4.006203	-0.096027	 12.500473	 0.523761	-0.332075	 6.846882
0.045  30.000000	 0.000000	 14.111843	-29.274962	 23.762733	 62.152040	 88.582311	-27.380834	-70.252401	-20.000000 -3.782706	-0.050238	 14.057249	 0.245228	-0.042187	 6.841783
0.05  30.000000	 0.000000	 15.443056	-29.802900	 23.740152	 62.680441	 88.128127	-27.661456	-71.780513	-20.000000 -3.796521	-0.053415	 15.277409	 0.237678	-0.155922	 6.841505
0.055  30.000000	 0.000000	 16.807463	-30.305106	 23.720785	 63.133627	 87.652737	-27.934376	-73.260959	-20.000000 -3.845247	-0.063095	 16.774029	 0.260490	-0.007697	 6.841649
0.06  30.000000	 0.000000	 18.202434	-30.780554	 23.704675	 63.510602	 87.155900	-28.197360	-74.690604	-20.000000 -4.009053	-0.108917	 18.126730	 0.414130	-0.062797	 6.844206
0.065  30.000000	 0.000000	 19.625011	-31.230993	 23.691706	 63.814073	 86.636138	-28.450377	-76.068736	-20.000000 -4.021847	-0.111806	 19.550646	 0.396365	-0.046267	 6.843732
0.07  30.000000	 0.000000	 21.073622	-31.653770	 23.682025	 64.040595	 86.094196	-28.689671	-77.391254	-20.000000 -3.715656	 0.000000	 21.024675	 0.240200	-0.128384	 6.840865
0.075  30.000000	 0.000000	 22.544991	-32.050720	 23.675513	 64.192986	 85.529112	-28.915164	-78.657690	-20.000000 -4.093052	-0.127319	 22.472764	 0.394411	-0.028572	 6.843328
0.08  30.000000	 0.000000	 24.036723	-32.421525	 23.672181	 64.270951	 84.940495	-29.125059	-79.865760	-20.000000 -4.188028	-0.159628	 23.825753	 0.457447	-0.177826	 6.844182
0.085  30.000000	 0.000000	 25.784660	-32.097996	 23.713576	 63.302306	 84.597547	-28.687106	-80.000000	-20.000000 -4.196094	-0.144816	 25.749964	 0.388986	-0.044155	 6.842278
0.09  30.000000	 0.000000	 27.762795	-31.392131	 23.779863	 61.751189	 84.466570	-26.838076	-80.000000	-18.854253 -4.267861	-0.158492	 27.704330	 0.395331	-0.041899	 6.842152
0.095  30.000000	 0.000000	 29.850277	-30.544915	 23.856294	 59.962747	 84.426959	-24.356462	-80.000000	-17.152788 -4.324533	-0.161657	 29.735512	 0.377870	-0.025175	 6.841805
0.1  30.000000	 0.000000	 32.152469	-29.401285	 23.952165	 57.719330	 84.612918	-20.197004	-80.000000	-13.922060 -4.255596	-0.083909	 31.925191	 0.177502	-0.029392	 6.838296
0.105  30.000000	 0.000000	 34.600744	-28.091393	 24.059367	 55.210804	 84.936644	-15.199906	-80.000000	-9.917580 -4.347450	-0.078661	 34.275148	 0.160000	-0.016601	 6.837961
0.11  30.000000	 0.000000	 37.160632	-26.678311	 24.173919	 52.530275	 85.371388	-9.484162	-80.000000	-5.198750 -4.623260	-0.196456	 36.621160	 0.374065	-0.055754	 6.841807
0.115  30.000000	 0.000000	 39.772923	-25.252905	 24.290277	 49.807514	 85.849701	-3.464131	-80.000000	-0.122630 -4.765525	-0.216724	 39.054489	 0.388698	-0.050650	 6.842228
0.12  30.000000	 0.000000	 42.264789	-24.037003	 24.395595	 47.343061	 86.186278	 1.741050	-80.000000	 4.288437 -4.652731	 0.000000	 41.534456	 0.084836	-0.464328	 6.836698
0.125  30.000000	 0.000000	 45.002491	-22.566935	 24.516753	 44.508009	 86.769945	 8.897519	-79.999996	 10.618326 -4.796908	 0.000000	 43.850759	 0.162682	-0.000996	 6.839251
0.13  30.000000	 0.000000	 47.530040	-21.410484	 24.620954	 42.069770	 87.110630	 14.754105	-79.999996	 15.827249 -2.633448	-0.171265	 44.992691	-1.681288	-1.376200	 6.803341
0.135  30.000000	 0.000000	 49.894632	-20.488547	 24.713627	 39.905774	 87.268676	 19.901601	-79.999140	 20.460062 -4.353148	 0.000000	 45.000000	-0.671006	-4.166682	 6.804174
0.14  30.000000	 0.000000	 49.991557	-22.369978	 24.647400	 41.450873	 85.509315	 21.876633	-79.999792	 23.397099 -4.350019	-0.191785	 45.001351	-0.587546	-5.223885	 6.793783
0.145  30.000000	 0.000000	 50.000000	-24.372788	 24.573371	 43.183117	 83.593265	 22.438574	-80.000000	 25.000000 -5.610559	 0.000000	 44.950249	 0.010755	-5.807280	 6.796363
0.15  30.000000	 0.000000	 50.000000	-26.389805	 24.497039	 44.969263	 81.595814	 21.361307	-80.000000	 25.000000 -4.254077	-0.260784	 45.001161	-0.650244	-5.729908	 6.785077
